dataset,policy,capacity_type,requested_capacity,effective_capacity_terms,actual_pct_eligible_vocab,oracle_ndcg10,delta_ndcg10,oracle_r1000,delta_r1000,pct_retained_vs_eligible,recall_safe_query_rate,ranking_safe_query_rate
scidocs,specificity,fixed,10000,10000,55.09338328466751,0.45099572666989546,0.3343119897611295,0.76,0.31999999999999995,100.0,0.4,0.6
scidocs,specificity,fixed,15000,15000,82.64007492700128,0.45099572666989546,0.3343119897611295,0.76,0.31999999999999995,100.0,0.4,0.6
scidocs,specificity,fixed,20000,20000,110.18676656933502,0.45099572666989546,0.3343119897611295,0.76,0.31999999999999995,100.0,0.4,0.6
scidocs,specificity,percentage,0.02,363,2.0,0.2939388445704673,0.17725510766170133,0.52,0.07999999999999999,53.02086466846509,0.2,0.2
scidocs,specificity,percentage,0.05,907,5.0,0.3605588317470689,0.24387509483830289,0.68,0.23999999999999994,72.94835432392208,0.4,0.4
scidocs,specificity,percentage,0.1,1815,10.0,0.40819847372298995,0.291514736814224,0.68,0.23999999999999994,87.19840919331529,0.4,0.4
scidocs,specificity,percentage,0.15,2722,15.0,0.40819847372298995,0.291514736814224,0.68,0.23999999999999994,87.19840919331529,0.4,0.4
scidocs,specificity,percentage,0.2,3630,20.0,0.4130408627520056,0.29635712584323964,0.68,0.23999999999999994,88.64687325602377,0.4,0.4
scidocs,specificity,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2722,14.996418930086497,0.40819847372298995,0.291514736814224,0.68,0.23999999999999994,87.19840919331529,0.4,0.4
scidocs,hybrid,fixed,1000,1000,5.509338328466751,0.3605588317470689,0.24387509483830289,0.68,0.23999999999999994,72.94835432392208,0.4,0.4
scidocs,hybrid,fixed,2500,2500,13.773345821166878,0.40819847372298995,0.291514736814224,0.68,0.23999999999999994,87.19840919331529,0.4,0.4
scidocs,hybrid,fixed,5000,5000,27.546691642333755,0.4130408627520056,0.29635712584323964,0.72,0.2799999999999999,88.64687325602377,0.4,0.4
scidocs,hybrid,fixed,10000,10000,55.09338328466751,0.45099572666989546,0.3343119897611295,0.76,0.31999999999999995,100.0,0.4,0.6
scidocs,hybrid,fixed,15000,15000,82.64007492700128,0.45099572666989546,0.3343119897611295,0.76,0.31999999999999995,100.0,0.4,0.6
scidocs,hybrid,fixed,20000,20000,110.18676656933502,0.45099572666989546,0.3343119897611295,0.76,0.31999999999999995,100.0,0.4,0.6
scidocs,hybrid,percentage,0.02,363,2.0,0.2939388445704673,0.17725510766170133,0.52,0.07999999999999999,53.02086466846509,0.2,0.2
scidocs,hybrid,percentage,0.05,907,5.0,0.3605588317470689,0.24387509483830289,0.68,0.23999999999999994,72.94835432392208,0.4,0.4
scidocs,hybrid,percentage,0.1,1815,10.0,0.40819847372298995,0.291514736814224,0.68,0.23999999999999994,87.19840919331529,0.4,0.4
scidocs,hybrid,percentage,0.15,2722,15.0,0.40819847372298995,0.291514736814224,0.68,0.23999999999999994,87.19840919331529,0.4,0.4
