dataset,partition_type,partition_bin,instance_count,ranking_safe_pct_w_0.05,ranking_safe_pct_w_0.1,ranking_safe_pct_w_0.3,ranking_safe_pct_w_0.5,ranking_safe_pct_w_1.0,ranking_safe_pct_no_safe,recall_safe_pct_w_0.05,recall_safe_pct_w_0.1,recall_safe_pct_w_0.3,recall_safe_pct_w_0.5,recall_safe_pct_w_1.0,recall_safe_pct_no_safe
nfcorpus,idf_decile,D7,1065,11.737089201877934,0.9389671361502347,3.004694835680751,4.976525821596244,23.474178403755868,55.86854460093896,53.14553990610329,0.28169014084507044,2.2535211267605635,1.784037558685446,16.8075117370892,25.727699530516436
nfcorpus,idf_decile,D8,1274,9.57613814756672,1.098901098901099,3.296703296703297,5.4945054945054945,30.612244897959183,49.92150706436421,49.058084772370485,0.39246467817896385,1.4128728414442702,2.2762951334379906,25.66718995290424,21.19309262166405
nfcorpus,idf_decile,D9,1457,10.638297872340425,1.029512697323267,3.5003431708991077,6.039807824296499,36.71928620452986,42.072752230610845,43.65133836650652,0.06863417982155114,1.1667810569663692,2.3335621139327385,30.473575840768703,22.30610844200412
trec_covid,df_band,DF=2-5,1974,0.4052684903748734,0.60790273556231,4.812563323201621,8.865248226950355,15.906788247213779,69.40222897669706,3.2928064842958458,3.2928064842958458,10.790273556231003,8.358662613981762,13.42451874366768,60.840932117527856
trec_covid,df_band,DF=6-20,7540,0.22546419098143236,0.5702917771883289,3.6604774535809024,5.7824933687002655,7.639257294429708,82.12201591511936,3.8328912466843503,3.2360742705570296,10.53050397877984,7.625994694960212,6.5119363395225465,68.26259946949602
trec_covid,df_band,DF>20_rel<0.1%,37037,0.2808002808002808,0.6372006372006372,2.7027027027027026,3.9501039501039505,2.9403029403029404,89.48888948888948,3.5208035208035207,3.696303696303696,9.412209412209412,6.574506574506575,2.843102843102843,73.95307395307395
trec_covid,df_band,DF>20_rel>1%,52053,1.1257756517395732,2.130520815322844,4.795112673621118,4.345570860469137,1.9845157819914319,85.6185042168559,6.1783182525502855,7.029373907363648,10.347146177934029,5.842122452116112,2.0171748026050373,68.58586440743089
trec_covid,df_band,DF>20_rel_0.1-1%,74006,0.39050887765856823,0.8377699105477934,2.475474961489609,2.8457152122800853,1.0918033672945435,92.35872767072941,3.809150609410048,4.114531254222631,8.876307326432991,4.611788233386482,1.4552874091289896,77.13293516741886
trec_covid,idf_decile,D1,72451,0.9537480504064817,1.839864184069233,4.215262729292901,3.8978067935570246,1.7046003505817726,87.38871789209259,5.631392251314682,6.387765524285379,9.918427626947867,5.417454555492678,1.7694717809277993,70.87548826103159
trec_covid,idf_decile,D10,2456,0.4885993485342019,0.5293159609120521,4.397394136807818,8.754071661237784,14.90228013029316,70.92833876221498,3.5830618892508146,3.298045602605863,10.749185667752444,7.858306188925081,13.110749185667753,61.40065146579805
trec_covid,idf_decile,D2,38538,0.352898437905444,0.7862369609216877,2.395038663137682,2.8205926617883645,1.0119881675229643,92.63324510872386,3.7028387565519747,3.9156157558773157,8.889926825470964,4.527998339301469,1.4401370076288338,77.52348331516944
trec_covid,idf_decile,D3,20101,0.2835679816924531,0.577085717128501,2.353116760360181,3.144122182975971,1.4974379384110243,92.14466941943186,3.5769364708223472,3.7261827769762697,8.666235510671111,5.343017760310433,1.9551266106163874,76.73250087060345
trec_covid,idf_decile,D4,12171,0.3286500698381398,0.6408676361843727,2.547038041245584,3.861638320598143,2.128009202201955,90.4937967299318,3.459041985046422,3.8205570618683757,9.456905759592473,6.39224385835182,2.234820474899351,74.63643086024156
trec_covid,idf_decile,D5,8263,0.2662471257412562,0.6535156722739924,2.6019605470168217,3.9331961757231024,2.783492678204042,89.76158780104079,3.4975190608737745,3.3038847876074064,9.330751543023116,6.426237444027592,3.0255355197870024,74.4160716446811
trec_covid,idf_decile,D6,6225,0.24096385542168677,0.7710843373493975,2.8433734939759034,4.016064257028113,3.8393574297188753,88.28915662650603,3.2449799196787152,3.823293172690763,9.63855421686747,7.100401606425703,3.2771084337349397,72.91566265060241
trec_covid,idf_decile,D7,4818,0.37359900373599003,0.6434205064342051,3.23785803237858,4.711498547114985,5.230386052303861,85.80323785803238,3.69447903694479,3.9435450394354503,10.25321710253217,7.347447073474471,4.2341220423412205,70.5271897052719
trec_covid,idf_decile,D8,4460,0.17937219730941703,0.5605381165919282,3.856502242152467,5.201793721973094,6.47982062780269,83.7219730941704,3.968609865470852,3.2062780269058297,11.09865470852018,7.690582959641255,5.4708520179372195,68.56502242152467
trec_covid,idf_decile,D9,3127,0.1598976654940838,0.6076111288775183,3.5817077070674768,5.756315957787017,8.28269907259354,81.61176846818037,3.5817077070674768,3.389830508474576,10.201471058522547,7.80300607611129,6.715701950751519,68.30828269907259
