stage,config_id,dataset,category,model_family,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_anchors,avg_synonyms,starved_aspects_mean
stage2,gate_variant_soft_reweight__dtau_0.0__beta_1.0,beir_fiqa_doc_level,Edge-RAG,v7,Gate Variant: soft_reweight,"gate_variant=soft_reweight, delta_tau=0.0, beta=1.0",500,45.2,55.6,60.0,66.4,16.2,23.4,25.6,29.2,28.46,37.6,40.98,46.55,6.08,4.01,2.99,2.11,0.2558,40.43,40.43,47.52,0.0,0.0,7.69,2729.9,0.0
stage2,gate_dtau_-0.25__beta_1.0__single,multihop_rag_doc_level,Edge-RAG,v7,"Gate d_tau=-0.25 (beta=1.0, single)","delta_tau=-0.25, beta=1.0, gate=single",248,98.92,99.46,99.46,100.0,63.44,84.95,90.32,95.7,84.5,93.91,96.01,98.43,21.56,12.15,8.3,5.12,0.8286,142.59,147.97,198.86,0.0,0.0,27.85,54257.81,0.0
stage2,gate_dtau_-0.20__beta_1.0__single,multihop_rag_doc_level,Edge-RAG,v7,"Gate d_tau=-0.20 (beta=1.0, single)","delta_tau=-0.2, beta=1.0, gate=single",248,98.92,99.46,99.46,100.0,63.44,84.95,90.32,95.7,84.5,93.91,96.01,98.43,21.56,12.15,8.3,5.12,0.8286,133.83,137.28,185.79,0.0,0.0,27.85,49391.26,0.0
stage2,gate_dtau_-0.15__beta_1.0__single,multihop_rag_doc_level,Edge-RAG,v7,"Gate d_tau=-0.15 (beta=1.0, single)","delta_tau=-0.15, beta=1.0, gate=single",248,98.92,99.46,99.46,100.0,63.44,84.95,90.32,95.7,84.5,93.91,96.01,98.43,21.56,12.15,8.3,5.12,0.8286,118.77,122.58,162.93,0.0,0.0,27.85,42248.44,0.0
stage2,gate_dtau_-0.10__beta_1.0__single,multihop_rag_doc_level,Edge-RAG,v7,"Gate d_tau=-0.10 (beta=1.0, single)","delta_tau=-0.1, beta=1.0, gate=single",248,98.92,99.46,99.46,100.0,63.44,84.95,90.32,95.7,84.5,93.91,96.01,98.43,21.56,12.15,8.3,5.12,0.8286,98.42,99.57,128.41,0.0,0.0,27.85,32563.22,0.0
stage2,gate_dtau_-0.05__beta_1.0__single,multihop_rag_doc_level,Edge-RAG,v7,"Gate d_tau=-0.05 (beta=1.0, single)","delta_tau=-0.05, beta=1.0, gate=single",248,98.92,99.46,99.46,100.0,63.44,84.95,90.32,95.7,84.5,93.91,96.01,98.43,21.56,12.15,8.3,5.12,0.8276,74.66,75.15,97.28,0.0,0.0,27.85,21949.91,0.0
stage2,gate_dtau_+0.00__beta_1.0__single,multihop_rag_doc_level,Edge-RAG,v7,"Gate d_tau=+0.00 (beta=1.0, single)","delta_tau=0.0, beta=1.0, gate=single",248,98.92,99.46,99.46,100.0,63.44,84.95,90.32,95.7,84.5,93.91,96.01,98.43,21.56,12.15,8.3,5.12,0.8276,56.02,56.28,70.77,0.0,0.0,27.85,13567.78,0.0
stage2,gate_dtau_+0.05__beta_1.0__single,multihop_rag_doc_level,Edge-RAG,v7,"Gate d_tau=+0.05 (beta=1.0, single)","delta_tau=0.05, beta=1.0, gate=single",248,98.92,99.46,99.46,100.0,63.44,84.95,90.32,95.7,84.5,93.91,96.01,98.43,21.56,12.15,8.3,5.12,0.8302,43.17,43.33,53.03,0.0,0.0,27.85,8590.66,0.0
stage2,gate_dtau_+0.10__beta_1.0__single,multihop_rag_doc_level,Edge-RAG,v7,"Gate d_tau=+0.10 (beta=1.0, single)","delta_tau=0.1, beta=1.0, gate=single",248,98.92,99.46,99.46,100.0,63.44,84.41,89.25,95.7,84.5,93.73,95.47,98.43,21.56,12.12,8.26,5.12,0.8297,35.97,36.37,44.34,0.0,0.0,27.85,5885.6,0.03
stage2,gate_dtau_+0.15__beta_1.0__single,multihop_rag_doc_level,Edge-RAG,v7,"Gate d_tau=+0.15 (beta=1.0, single)","delta_tau=0.15, beta=1.0, gate=single",248,98.92,99.46,99.46,100.0,63.44,83.87,89.25,95.7,84.63,93.55,95.47,98.43,21.61,12.1,8.26,5.12,0.8245,31.76,32.32,39.29,0.0,0.0,27.85,4372.88,0.37
