dataset,category,model_family,config_label,p,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_qaug_len,avg_anchors,avg_synonyms,avg_r_anchor
beir_scifact_doc_level,Baseline,Dense_BGE_Large,dense_bge_large,-,Dense (bge-large-en-v1.5),"dim=1024, cosine, fp16",300,88.0,92.33,93.67,94.67,86.33,91.33,93.33,94.33,87.32,91.99,93.5,94.5,9.93,5.22,3.54,2.15,0.7127,37.2,37.35,38.56,36.87,3.785,0.0,0.0,0.0,0.0
beir_scifact_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert",300,82.33,85.67,86.67,88.67,79.33,82.67,84.0,87.33,80.89,84.29,85.52,88.2,9.1,4.75,3.22,2.01,0.6637,11.24,11.22,11.99,43.275,4.105,0.0,0.0,0.0,0.0
beir_scifact_doc_level,Edge-RAG,v7,v7,1.0,Edge-RAG V7 Default (p=1.00),"p=1.00, tau_base=0.55, Delta_tau=0.0, mu=0.50, eta=0.0, eps=0.0",300,79.67,85.67,86.67,88.0,76.0,82.33,84.0,87.0,77.69,84.0,85.58,87.66,8.53,4.65,3.2,1.99,0.6023,36.97,37.34,48.06,8.071,0.229,0.0,0.0,0.0,0.0
beir_nfcorpus_doc_level,Baseline,BM25_Analyzed_Parity,bm25_analyzed_parity,-,BM25 (Analyzed Parity Baseline),"k1=1.2, b=0.75, kstem+wordnet",323,68.11,71.52,73.37,74.92,3.72,4.02,4.33,4.33,14.11,16.69,18.18,20.16,22.6,15.94,12.83,9.64,0.5171,0.07,0.08,0.15,1.255,0.0,0.0,0.0,0.0,0.0
beir_nfcorpus_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",323,69.35,75.23,77.09,79.57,4.02,4.64,4.95,5.57,16.2,20.04,22.15,25.48,25.76,19.01,15.44,11.8,0.5298,15.65,15.76,16.61,4.285,1.349,0.0,0.0,0.0,0.0
beir_nfcorpus_doc_level,Baseline,Dense_BGE_Large,dense_bge_large,-,Dense (bge-large-en-v1.5),"dim=1024, cosine, fp16",323,76.16,80.8,83.59,86.69,5.88,5.88,6.19,7.74,19.29,23.32,25.65,29.84,28.14,21.3,17.38,13.43,0.5775,31.9,32.06,33.21,28.587,3.785,0.0,0.0,0.0,0.0
beir_nfcorpus_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert",323,72.76,76.78,78.02,78.64,4.95,5.57,5.57,5.57,16.74,19.82,21.25,23.71,25.45,18.42,14.73,11.23,0.5755,7.98,8.04,8.65,32.671,4.105,0.0,0.0,0.0,0.0
beir_nfcorpus_doc_level,Edge-RAG,v7,v7,1.0,Edge-RAG V7 Default (p=1.00),"p=1.00, tau_base=0.55, Delta_tau=0.0, mu=0.50, eta=0.0, eps=0.0",323,69.97,74.92,76.78,78.33,4.33,4.95,4.95,5.26,15.07,18.51,19.94,22.31,23.13,16.75,13.36,10.17,0.5387,23.44,23.57,34.91,5.614,0.194,0.0,0.0,0.0,0.0
beir_fiqa_doc_level,Baseline,BM25_Analyzed_Parity,bm25_analyzed_parity,-,BM25 (Analyzed Parity Baseline),"k1=1.2, b=0.75, kstem+wordnet",500,47.4,56.4,60.4,64.0,17.8,23.4,25.4,28.8,30.34,37.78,41.11,45.28,6.54,4.19,3.08,2.07,0.2847,0.81,0.83,1.24,10.882,0.0,0.0,0.0,0.0,0.0
beir_fiqa_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",500,66.4,73.2,75.8,79.8,27.8,35.6,37.8,42.4,45.51,53.42,56.65,62.05,10.58,6.34,4.6,3.06,0.4669,81.49,81.59,83.08,30.351,1.349,0.0,0.0,0.0,0.0
