stage,config_id,dataset,category,model_family,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_anchors,avg_synonyms,starved_aspects_mean
stage3,budget_mu_0.75__eta_0.0,beir_nfcorpus_doc_level,Edge-RAG,v7,Budget mu_ceil=0.75,"mu_ceil=0.75, eta=0.0",323,70.59,74.92,76.78,78.33,4.64,4.95,4.95,5.26,15.41,18.49,19.93,22.29,23.22,16.7,13.34,10.15,0.5413,24.38,24.26,36.65,0.0,0.0,2.76,2040.08,0.0
stage3,budget_mu_1.00__eta_0.0,beir_nfcorpus_doc_level,Edge-RAG,v7,Budget mu_ceil=1.00,"mu_ceil=1.0, eta=0.0",323,70.59,74.92,76.78,78.33,4.64,4.95,4.95,5.26,15.42,18.5,19.91,22.28,23.25,16.73,13.33,10.14,0.5428,24.31,24.24,37.13,0.0,0.0,2.76,2040.08,0.0
stage3,sparsity_eps_0.000,beir_nfcorpus_doc_level,Edge-RAG,v7,Mass Floor eps=0.000,mass_floor=0.0,323,69.97,74.92,76.78,78.33,4.33,4.95,4.95,5.26,15.07,18.51,19.94,22.31,23.13,16.75,13.36,10.17,0.5387,24.27,24.26,37.63,0.0,0.0,2.76,2040.08,0.0
stage3,sparsity_eps_0.001,beir_nfcorpus_doc_level,Edge-RAG,v7,Mass Floor eps=0.001,mass_floor=0.001,323,69.35,73.99,75.85,77.4,4.33,4.95,4.95,5.26,14.98,18.27,19.68,21.92,23.07,16.64,13.26,10.03,0.5372,16.13,16.49,21.7,0.0,0.0,2.76,94.31,0.0
stage3,sparsity_eps_0.005,beir_nfcorpus_doc_level,Edge-RAG,v7,Mass Floor eps=0.005,mass_floor=0.005,323,68.73,72.76,74.61,76.16,4.33,4.64,4.64,4.95,14.84,17.77,19.16,21.37,22.91,16.47,13.14,9.93,0.532,15.64,15.73,20.38,0.0,0.0,2.76,0.22,0.0
stage3,sparsity_eps_0.010,beir_nfcorpus_doc_level,Edge-RAG,v7,Mass Floor eps=0.010,mass_floor=0.01,323,68.73,72.76,74.61,76.16,4.33,4.64,4.64,4.95,14.84,17.77,19.16,21.37,22.91,16.47,13.14,9.93,0.532,15.95,15.96,21.25,0.0,0.0,2.76,0.0,0.0
stage3,sparsity_eps_0.020,beir_nfcorpus_doc_level,Edge-RAG,v7,Mass Floor eps=0.020,mass_floor=0.02,323,68.73,72.76,74.61,76.16,4.33,4.64,4.64,4.95,14.84,17.77,19.16,21.37,22.91,16.47,13.14,9.93,0.532,15.59,15.76,20.51,0.0,0.0,2.76,0.0,0.0
stage3,sparsity_eps_0.050,beir_nfcorpus_doc_level,Edge-RAG,v7,Mass Floor eps=0.050,mass_floor=0.05,323,68.73,72.76,74.61,76.16,4.33,4.64,4.64,4.95,14.84,17.77,19.16,21.37,22.91,16.47,13.14,9.93,0.532,15.89,15.79,20.37,0.0,0.0,2.76,0.0,0.0
stage3,alloc_normalized_cosine,beir_nfcorpus_doc_level,Edge-RAG,v7,Allocation: normalized_cosine,allocation=normalized_cosine,323,69.97,74.92,76.78,78.33,4.33,4.95,4.95,5.26,15.07,18.51,19.94,22.31,23.13,16.75,13.36,10.17,0.5387,24.01,24.23,37.12,0.0,0.0,2.76,2040.08,0.0
stage3,alloc_softmax_1.0,beir_nfcorpus_doc_level,Edge-RAG,v7,Allocation: softmax_1.0,allocation=softmax_1.0,323,70.59,74.92,76.78,78.33,4.64,4.95,4.95,5.26,15.4,18.5,19.92,22.28,23.19,16.73,13.35,10.15,0.5394,24.44,24.37,37.39,0.0,0.0,2.76,2040.08,0.0
stage3,alloc_softmax_0.1,beir_nfcorpus_doc_level,Edge-RAG,v7,Allocation: softmax_0.1,allocation=softmax_0.1,323,70.28,74.92,77.09,79.26,4.64,4.95,4.95,5.26,15.43,18.65,20.09,22.7,23.28,16.89,13.45,10.28,0.5401,24.52,24.43,37.39,0.0,0.0,2.76,2040.08,0.0
stage3,alloc_uniform,beir_nfcorpus_doc_level,Edge-RAG,v7,Allocation: uniform,allocation=uniform,323,70.28,74.92,76.78,78.33,4.33,4.95,4.95,5.26,15.09,18.46,19.91,22.27,23.19,16.7,13.33,10.15,0.539,24.15,25.12,37.4,0.0,0.0,2.76,2040.08,0.0
stage3,budget_eta_-0.5__mu_0.50,beir_fiqa_doc_level,Edge-RAG,v7,Budget eta=-0.5 (mu=0.50),"eta=-0.5, mu_ceil=0.50",500,45.2,55.6,60.0,66.4,16.2,23.4,25.6,29.2,28.46,37.6,40.98,46.55,6.08,4.01,2.99,2.11,0.2548,27.87,28.07,34.49,0.0,0.0,7.69,2729.9,0.0
stage3,budget_eta_+0.0__mu_0.50,beir_fiqa_doc_level,Edge-RAG,v7,Budget eta=+0.0 (mu=0.50),"eta=0.0, mu_ceil=0.50",500,45.2,55.6,60.0,66.4,16.2,23.4,25.6,29.2,28.46,37.6,40.98,46.55,6.08,4.01,2.99,2.11,0.2558,27.76,27.93,34.49,0.0,0.0,7.69,2729.9,0.0
stage3,budget_eta_+0.5__mu_0.50,beir_fiqa_doc_level,Edge-RAG,v7,Budget eta=+0.5 (mu=0.50),"eta=0.5, mu_ceil=0.50",500,45.2,55.6,60.0,66.6,16.2,23.4,25.6,29.2,28.46,37.6,40.98,46.65,6.08,4.01,2.99,2.11,0.2558,27.53,27.77,34.03,0.0,0.0,7.69,2729.9,0.0
stage3,budget_mu_0.25__eta_0.0,beir_fiqa_doc_level,Edge-RAG,v7,Budget mu_ceil=0.25,"mu_ceil=0.25, eta=0.0",500,45.2,55.6,60.0,66.6,16.2,23.4,25.6,29.2,28.46,37.6,40.98,46.65,6.08,4.01,2.99,2.11,0.256,27.5,27.57,33.96,0.0,0.0,7.69,2729.9,0.0
stage3,budget_mu_0.50__eta_0.0,beir_fiqa_doc_level,Edge-RAG,v7,Budget mu_ceil=0.50,"mu_ceil=0.5, eta=0.0",500,45.2,55.6,60.0,66.4,16.2,23.4,25.6,29.2,28.46,37.6,40.98,46.55,6.08,4.01,2.99,2.11,0.2558,27.84,27.91,34.89,0.0,0.0,7.69,2729.9,0.0
stage3,budget_mu_0.75__eta_0.0,beir_fiqa_doc_level,Edge-RAG,v7,Budget mu_ceil=0.75,"mu_ceil=0.75, eta=0.0",500,45.2,55.6,60.0,66.4,16.2,23.4,25.6,29.2,28.46,37.6,40.98,46.55,6.08,4.01,2.99,2.11,0.2548,27.81,27.93,34.47,0.0,0.0,7.69,2729.9,0.0
stage3,budget_mu_1.00__eta_0.0,beir_fiqa_doc_level,Edge-RAG,v7,Budget mu_ceil=1.00,"mu_ceil=1.0, eta=0.0",500,45.2,56.0,60.0,66.6,16.2,23.6,25.6,29.2,28.46,37.9,40.98,46.65,6.08,4.03,2.99,2.11,0.2548,28.15,28.08,34.72,0.0,0.0,7.69,2729.9,0.0
