dataset,policy,capacity,oracle_ndcg10,delta_ndcg10,oracle_r1000,delta_r1000,pct_retained_vs_eligible,recall_safe_query_rate,ranking_safe_query_rate
trec_covid,salience,20000,0.9066334302246564,0.30008931467994415,0.5291549377079076,0.08053081191651595,98.72820193051824,1.0,0.94
trec_covid,specificity,1000,0.806738689540025,0.20019457399531282,0.47103728052564525,0.02241315473425365,65.86322591286941,0.98,0.76
trec_covid,specificity,2500,0.8298505659582305,0.22330645041351826,0.49372224797439374,0.04509812218300213,73.46694217462095,1.0,0.94
trec_covid,specificity,5000,0.8638421366386372,0.25729802109392497,0.5072033231087012,0.058579197317309595,84.65003497367609,1.0,0.94
trec_covid,specificity,10000,0.8948607130414757,0.2883165974967635,0.512775680150337,0.06415155435894543,94.85502437145861,1.0,0.94
trec_covid,specificity,15000,0.9000232922450772,0.29347917670036494,0.5205747899940399,0.07195066420264834,96.55349258462729,1.0,0.94
trec_covid,specificity,20000,0.9029032330568281,0.29635911751211585,0.5265129697904427,0.0778888439990511,97.50098176235336,1.0,0.94
trec_covid,hybrid,1000,0.806738689540025,0.20019457399531282,0.47103728052564525,0.02241315473425365,65.86322591286941,0.98,0.74
trec_covid,hybrid,2500,0.8298505659582305,0.22330645041351826,0.49367462892677466,0.04505050313538306,73.46694217462095,1.0,0.94
trec_covid,hybrid,5000,0.8616900319227444,0.2551459163780322,0.5056577474547328,0.057033621663341194,83.94200100321335,1.0,0.94
trec_covid,hybrid,10000,0.8944171101624682,0.28787299461775595,0.5121177724977063,0.06349364670631469,94.709080772426,1.0,0.94
trec_covid,hybrid,15000,0.8990872528474515,0.2925431373027393,0.5196839050337625,0.07105977924237089,96.245539311575,1.0,0.94
trec_covid,hybrid,20000,0.9012530394091044,0.2947089238643922,0.5222796268719323,0.0736555010805407,96.95807455537506,1.0,0.94
trec_covid,stratified,1000,0.8279027790909212,0.22135866354620903,0.4828721470779944,0.034248021286602814,72.82612797116151,1.0,0.86
trec_covid,stratified,2500,0.8687122774226606,0.26216816187794834,0.5021854780006397,0.053561352209248125,86.25229209925193,1.0,0.92
trec_covid,stratified,5000,0.8927366263730253,0.2861925108283131,0.5187507070639717,0.07012658127258015,94.15620822819022,1.0,0.92
trec_covid,stratified,10000,0.9018866421867814,0.29534252664206917,0.5290393904075724,0.08041526461618081,97.16652737231374,1.0,0.94
trec_covid,stratified,15000,0.9034827290513586,0.2969386135066464,0.5315273706174284,0.08290324482603678,97.69163366086218,1.0,0.94
trec_covid,stratified,20000,0.9104991241562713,0.3039550086115591,0.5315273706174284,0.08290324482603678,100.0,1.0,0.94
